Lv,序号,标记,ジャンル名(タイプ),曲名,bpm,Time,Notes,難易度
29,1,,スパイ(H),SPICY PIECE,156,1:30,351,強(+0.5)
29,4,,アンビエント(H),birds,147,1:39,367,強(+0.5)
29,4,,ヴィジュアル2(H),Cry Out,184,1:48,505,中(0.0)
29,5,,エンカREMIX(N),お江戸花吹雪 TEYAN-day MIX,139,1:34,497,強(+0.5)
29,5,,パラパラ(H),ウルトラハイヒール～I JUST WANNA TELL YOU,159,1:33,459,強(+0.5)
29,6,,ロックンロール(H),I am Rock'n'roll King,110,1:33,423,強(+0.5)
29,7,,サーフロック(N),純愛サレンダー,160,1:58,468,中(0.0)
29,8,,ウクレレ(H),ホノホノ,210,1:56,433,中(0.0)
29,8,,キャンディポップ(N),CANDY♥,180,1:34,386,中(0.0)
29,8,,ハウシーポップ(H),会社はワタシで廻ってる!?,128,1:50,359,弱(-0.5)
29,8,,ユーロビート(N),♥Love² シュガ→ ♥,155,1:57,436,強(+0.5)
29,8,,ラウンジポップ(N),Linus,160～176,1:51,470,強(+0.5)
29,9,,ショウワカヨウREMIX(N),林檎と蜂蜜(美味しさ倍増MIX),260,1:50,384,中(0.0)
29,10,,アンセムトランス(N),Votum stellarum,136～147,2:06,512,強(+0.5)
29,10,,フェアリーテイル(H),"""Princess Piccolo""",130,2:03,557,強(+0.5)
29,11,,ウチュウリョコウ(H),Space Dog,113,2:01,543,強(+0.5)
29,11,,大河REMIX(N),ANAHONIKUY -雪の華PuzzLeMix-,72～145,1:56,377,中(0.0)
29,11,,ねぶた(N),烏,140,1:41,439,強(+0.5)
29,11,,ボヤージュ(H),さよならサンクチュアリ,155,2:02,592,強(+0.5)
29,12,,アカペラ(H),MAGICAL VOICE SHOWER,120,1:56,483,弱(-0.5)
29,12,,エイジロック(N),カリスマ(ゲームサイズ),120,2:07,495,中(0.0)
29,12,[[版]],残酷な天使のテーゼ(H),残酷な天使のテーゼ,79～128,1:35,421,強(+0.5)
29,12,,セツブン(N),お豆の哀歌,290,2:04,577,強(+0.5)
29,12,,ヒーリングデュオ(H),home,110,1:44,498,中(0.0)
29,12,,フロウビート(N),CURUS,184～188,1:58,553,弱(-0.5)
29,13,,レーシング(N),Violently Car,170～300,1:58,482,強(+0.5)
29,14,,デスロック(N),レトロスペクト路,165,1:54,557,中(0.0)
29,14,,ときめきボッサ(EX),いつか王子さまがぁ！,99,1:47,480,強(+0.5)
29,14,,バトルダンス(N),シャムシールの舞,100～155,1:56,477,中(0.0)
29,15,,ガムラントランス(N),Gamelan de Couple,150,1:23,373,弱(-0.5)
29,15,,交響的物語(H),駕篭の鳥,136,1:42,406,強(+0.5)
29,15,,コンティネンタル(H),走り続けて,140,1:53,501,弱(-0.5)
29,15,,ボーイズR＆B(H),Always,130,1:54,415,強(+0.5)
29,15,,ミュートロニカ(H),Polis,77,1:50,305,強(+0.5)
29,16,,エモ(N),Sorrows,185,1:55,475,中(0.0)
29,16,,エピックポエトリー(N),"Blind Justice ～Torn souls, Hurt Faiths～",137～165,2:11,476,弱(-0.5)
29,16,,ケマリ(N),Kicky Kemari Kicker,136,2:03,444,強(+0.5)
29,16,,ジグREMIX(N),Tir na n'Og (Europa GT Remix),220,1:51,447,中(0.0)
29,16,,スパイREMIX(N),SPICY PIECE(Ryu☆Remix),90～180,1:58,446,強(+0.5)
29,16,,ネガメロック(N),繚乱ヒットチャート,192,2:00,678,強(+0.5)
29,16,,ヒップロックREMIX(N),大見解の新見解,142～170,2:00,581,弱(-0.5)
29,16,,フォールスメルヘン(N),みずうみの記憶,145～220,1:58,514,強(+0.5)
29,17,,オキナワッシヴ(N),西表島琉球曲,147～179,1:41,368,弱(-0.5)
